No,MSSV,Ho va ten,Giua Ky,Cuoi Ky,Tong ket,Danh dau khac
1,22110001,Luong Thanh Nam,5,7,6,Khong
2,22110002,Truong Binh Ba,4,5,4.5,Rot
3,22110003,Nguyen Thi Xuan Huong,5,7,6,Khong
4,22110004,Phan Thi Ngoc Linh,5,7,6,Khong
5,22110005,Tran Anh Quoc,7,9,8.6,Khong
6,22110006,Duong Thi Tham,5,7,6,Khong
7,22110007,Tu Thuc,7,9,8.6,Khong
8,22110008,Le Tuan Minh Thanh,4,5,4.5,Rot
9,22110009,Cao Thi Hau,7,9,8.6,Khong
10,22110010,Cao Thi Phuc,5,7,6,Khong
11,22110011,Nguyen Ngoc Hien,4,5,4.5,Rot
12,22110012,Nguyen Pham Anh Tri,7,9,8.6,Khong
13,22110013,Le Tan,5,7,6,Khong
14,22110014,Nguyen Thi Minh Tam,7,9,8.6,Khong
15,22110015,Hoang Phan Tuan Anh,4,5,4.5,Rot
16,22110016,Tran Le Duy,5,7,6,Khong
17,22110017,Nguyen Truong Hung,7,9,8.6,Khong
18,22110018,Nguyen Van Bao,4,5,4.5,Rot
19,22110019,Nguyen Quoc Bao,7,9,8.6,Khong
20,22110020,Dinh Bao Chau Thi,4,5,4.5,Rot
